customer_id,first_name,last_name,age_band,nationality,home_market,loyalty_tier,preferred_cabin_class,join_date,last_booking_date,days_since_last_booking,trips_last_12m,lifetime_bookings,avg_trip_value_hkd,ancillary_spend_hkd,total_revenue_hkd,email_open_rate,app_engagement_score,customer_lifetime_value_12m,churn_probability_90d,customer_segment
CUST000000,Alexandra,Andrews,45-54,US,TW,Silver,Premium Economy,2024-07-08,2024-08-22,131,0,15,1200,146,20190,0.364,47.1,1346,0.696,At Risk
CUST000001,Mark,Hendricks,35-44,AU,SG,Gold,Economy,2023-10-24,2024-09-17,105,5,19,6050,322,121413,0.422,83.5,37305,0.339,Mass Market
CUST000002,Kathy,Goodman,55-64,JP,HK,Standard,Economy,2020-04-23,2024-12-27,4,5,5,2146,281,9613,0.391,75.3,11062,0.123,Frequent Flyers
CUST000003,Lisa,Simmons,45-54,SG,HK,Standard,Economy,2020-01-10,2024-11-17,44,3,15,7506,1050,101881,0.304,58.6,23416,0.371,Mass Market
CUST000004,Joseph,Herrera,25-34,US,UK,Silver,Economy,2021-01-09,2024-10-23,69,1,17,7554,988,125951,0.502,62.6,8542,0.514,Growth Opportunity
CUST000005,Kathryn,Diaz,65+,JP,UK,Silver,First,2021-10-07,2024-11-22,39,6,20,2188,330,94120,0.02,70.7,15108,0.379,Mass Market
CUST000006,Randall,Flores,45-54,TW,HK,Standard,Business,2020-10-05,2024-01-24,342,4,19,1200,100,31654,0.454,45.8,4720,0.97,At Risk
CUST000007,Daniel,Allison,55-64,TH,TW,Gold,Economy,2019-07-16,2024-12-27,4,3,15,4529,905,81714,0.197,72.6,18748,0.263,Mass Market
CUST000008,Nancy,Brown,25-34,SG,AU,Gold,Economy,2021-12-26,2024-08-13,140,0,22,4669,419,112244,0.544,60.6,5928,0.734,Growth Opportunity
CUST000009,John,Jacobson,35-44,CN,TW,Silver,Premium Economy,2021-06-20,2024-01-13,353,3,16,5217,649,93856,0.067,32.4,17598,0.97,At Risk
CUST000010,Jeffery,Anderson,35-44,AU,TH,Diamond,Economy,2020-10-31,2024-11-18,43,3,20,6127,1198,169783,0.275,81.6,29327,0.333,High Value Loyalists
CUST000011,Kayla,Lee,55-64,AU,UK,Silver,Economy,2023-12-15,2024-05-09,236,2,23,4859,834,114175,0.424,51.1,11386,0.762,At Risk
CUST000012,Charles,Diaz,45-54,HK,TH,Silver,Premium Economy,2020-09-26,2024-10-01,91,4,16,5428,938,101856,0.338,69.2,25464,0.378,Mass Market
CUST000013,Laura,Sanchez,55-64,TH,HK,Standard,Economy,2024-05-09,2024-09-06,116,2,10,3366,626,32010,0.246,45.6,7311,0.507,Mass Market
CUST000014,Karen,Thomas,35-44,JP,US,Standard,Economy,2019-01-25,2024-07-24,160,5,21,2940,630,60461,0.536,68.6,16380,0.488,Mass Market
CUST000015,Colin,Mahoney,25-34,CN,TH,Standard,Economy,2022-02-10,2024-06-05,209,3,18,6528,372,96587,0.149,39.2,18742,0.838,At Risk
CUST000016,Julia,Martin,35-44,CN,TW,Silver,Economy,2024-09-11,2024-04-01,274,2,20,6344,1393,135708,0.376,46.1,15474,0.88,At Risk
CUST000017,Angela,Smith,18-24,AU,AU,Silver,Premium Economy,2020-09-19,2024-05-22,223,7,12,4413,922,64020,0.26,70.6,37345,0.687,At Risk
CUST000018,Ricky,Miller,55-64,AU,AU,Standard,Premium Economy,2022-12-05,2024-12-23,8,4,4,2884,214,11238,0.483,73.7,11238,0.194,Mass Market
CUST000019,Abigail,Williams,45-54,TW,AU,Silver,First,2023-05-26,2024-10-26,66,1,9,8615,862,162828,0.268,53.4,9477,0.42,Mass Market
CUST000020,Brittany,Wallace,45-54,TW,TH,Standard,Economy,2021-01-19,2024-05-19,226,3,21,8963,1452,174483,0.361,46.4,28556,0.829,At Risk
CUST000021,Jennifer,Larson,35-44,US,AU,Standard,Premium Economy,2022-10-31,2024-09-18,104,2,14,7706,1539,118642,0.311,49.1,16949,0.478,Mass Market
CUST000022,Crystal,Watson,65+,JP,SG,Diamond,Business,2022-11-29,2024-12-09,22,3,4,6593,937,57283,0.35,86.2,30502,0.359,High Value Loyalists
CUST000023,Mary,Diaz,55-64,SG,UK,Standard,Premium Economy,2021-10-27,2024-06-16,198,0,17,2803,385,49431,0.384,34.5,2908,0.812,At Risk
CUST000024,Valerie,Graham,45-54,TW,UK,Standard,First,2021-04-04,2024-09-07,115,3,17,8019,564,254969,0.367,55.5,23343,0.487,Mass Market
CUST000025,Brooke,Woods,25-34,AU,JP,Standard,First,2021-11-07,2024-03-03,303,4,25,6473,1120,319285,0.35,44.8,27783,0.949,At Risk
CUST000026,Gabriel,Aguirre,35-44,HK,UK,Standard,Business,2019-11-23,2024-02-14,321,3,12,2946,397,50898,0.248,34.2,9145,0.97,At Risk
CUST000027,Steven,Graham,18-24,GB,US,Silver,First,2021-12-16,2024-11-14,47,3,19,6752,457,265259,0.397,70.1,21627,0.317,Mass Market
CUST000028,Tina,Hall,25-34,AU,JP,Diamond,Premium Economy,2020-12-13,2024-03-26,280,0,20,4077,836,130876,0.172,43.5,6544,0.97,High Value Loyalists
CUST000029,Crystal,Henry,45-54,AU,JP,Silver,Economy,2021-01-12,2024-02-25,310,2,18,7024,635,118897,0.42,45.0,15318,0.97,At Risk
CUST000030,Sydney,Sharp,45-54,SG,SG,Silver,Business,2020-06-21,2024-05-14,231,1,22,7718,1085,270074,0.358,43.8,8803,0.876,At Risk
CUST000031,Charles,Benton,65+,KR,UK,Standard,Business,2022-02-10,2024-05-25,220,4,14,6344,1217,132943,0.02,38.2,27706,0.823,At Risk
CUST000032,Dana,Mejia,25-34,CN,TW,Silver,Economy,2019-01-17,2024-07-16,168,1,1,3363,554,3413,0.391,50.2,3917,0.816,At Risk
CUST000033,Daniel,Woods,35-44,GB,SG,Standard,Economy,2019-05-06,2024-07-07,177,5,10,6559,590,56076,0.632,71.1,32466,0.507,Mass Market
CUST000034,David,Thomas,35-44,SG,SG,Standard,Economy,2020-04-02,2024-12-02,29,6,9,6435,1415,57040,0.344,76.4,43239,0.17,Frequent Flyers
CUST000035,Jocelyn,Perez,25-34,SG,AU,Gold,Business,2022-06-02,2024-11-09,52,4,21,3657,241,136461,0.389,81.4,18225,0.3,Mass Market
CUST000036,Kyle,Sanchez,25-34,JP,HK,Standard,Economy,2020-07-16,2024-04-28,247,3,18,4450,832,76252,0.246,40.1,14511,0.928,At Risk
CUST000037,Dawn,Hill,35-44,TH,TW,Standard,Economy,2021-12-22,2024-06-16,198,0,8,9391,1211,67161,0.74,48.8,9663,0.789,Growth Opportunity
CUST000038,Amanda,Oliver,25-34,TH,KR,Standard,Economy,2019-11-21,2024-10-29,63,5,16,8844,551,117067,0.719,83.7,42553,0.095,Frequent Flyers
CUST000039,Joyce,Smith,45-54,TH,AU,Gold,Economy,2021-07-10,2024-08-25,128,6,26,3996,365,113698,0.637,95.2,30482,0.311,Mass Market
CUST000040,Thomas,Robles,35-44,SG,UK,Standard,First,2021-09-20,2024-05-12,233,4,12,1200,100,27120,0.696,64.2,4720,0.677,At Risk
CUST000041,Bobby,Alexander,55-64,TW,UK,Standard,Economy,2020-12-10,2024-10-23,69,3,23,8461,721,165454,0.219,53.2,25008,0.399,Mass Market
CUST000042,Thomas,Rodriguez,45-54,TW,CN,Gold,Economy,2019-04-19,2024-10-16,76,8,12,9864,1977,142447,0.157,90.2,108932,0.175,High Value Loyalists
CUST000043,Corey,Grimes,25-34,TW,HK,Standard,Economy,2022-09-23,2024-02-18,317,2,3,8662,864,22471,0.814,52.2,17320,0.97,Growth Opportunity
CUST000044,Daniel,Hall,55-64,AU,TH,Gold,Business,2020-03-21,2024-07-19,165,2,8,4420,680,65941,0.334,60.2,11791,0.692,At Risk
CUST000045,Clinton,Powers,55-64,TH,HK,Standard,Premium Economy,2021-11-28,2024-07-18,166,6,6,6675,560,39405,0.227,60.8,39405,0.541,Mass Market
CUST000046,Michelle,Hodges,35-44,TH,TH,Silver,Economy,2023-04-03,2024-12-04,27,1,2,3166,290,5962,0.434,63.2,3456,0.382,Mass Market
CUST000047,James,Fisher,25-34,TW,HK,Diamond,Economy,2019-08-09,2024-12-02,29,2,13,7578,833,128061,0.181,73.9,22884,0.425,High Value Loyalists
CUST000048,Christopher,Dean,45-54,US,UK,Standard,Business,2023-01-26,2024-05-11,234,4,13,3919,827,77237,0.402,52.4,17416,0.808,At Risk
CUST000049,Cody,Meyers,25-34,SG,AU,Silver,Business,2021-03-31,2024-09-13,109,4,9,3802,327,52559,0.228,63.4,16516,0.565,Mass Market
CUST000050,Nicholas,Ortiz,25-34,GB,AU,Standard,Premium Economy,2022-01-07,2024-09-21,101,3,6,5012,810,31925,0.505,62.1,15962,0.473,Mass Market
CUST000051,Wanda,Sims,18-24,HK,TH,Silver,Economy,2019-06-17,2024-10-26,66,3,8,3967,449,30568,0.22,61.5,13248,0.469,Mass Market
CUST000052,Jennifer,Smith,55-64,TH,JP,Gold,First,2021-12-29,2024-04-03,272,3,20,6817,506,331882,0.17,50.0,25650,0.947,At Risk
CUST000053,Timothy,Davis,45-54,GB,HK,Silver,Premium Economy,2021-04-10,2024-01-27,339,3,12,3321,479,45600,0.21,39.3,11400,0.97,At Risk
CUST000054,Vincent,Mitchell,45-54,JP,TH,Gold,Economy,2020-01-26,2024-09-28,94,4,17,10892,1235,206714,0.414,79.0,56350,0.477,Mass Market
CUST000055,Michelle,Chavez,55-64,SG,AU,Silver,First,2022-03-12,2024-10-04,88,4,22,6411,1272,310068,0.261,66.4,30732,0.444,Mass Market
CUST000056,Denise,Reed,35-44,CN,HK,Silver,Business,2022-11-26,2024-03-25,281,5,23,4430,919,168878,0.501,65.6,26745,0.748,At Risk
CUST000057,Jonathan,Walker,35-44,GB,HK,Standard,Premium Economy,2021-05-06,2024-07-01,183,5,8,3051,448,25551,0.355,59.6,15970,0.627,At Risk
CUST000058,Abigail,Bryant,25-34,GB,JP,Silver,Business,2022-10-21,2024-03-20,286,0,14,4517,451,98009,0.458,38.4,4968,0.97,Growth Opportunity
CUST000059,Tracy,Montgomery,25-34,JP,KR,Gold,Economy,2021-01-18,2024-04-06,269,2,24,4742,666,130133,0.209,46.8,12523,0.97,At Risk
CUST000060,Gerald,Taylor,45-54,JP,HK,Silver,Economy,2023-12-24,2024-03-19,287,3,14,4603,923,67698,0.334,48.4,16578,0.947,At Risk
CUST000061,Amber,King,35-44,HK,CN,Standard,Economy,2020-09-07,2024-11-03,58,4,18,4111,677,68794,0.355,64.6,17508,0.353,Mass Market
CUST000062,Travis,Black,35-44,JP,AU,Standard,Premium Economy,2023-10-15,2024-06-21,193,2,23,3390,219,75210,0.23,38.8,6540,0.846,At Risk
